Position,Team,User,W,L,Average,Season
1,Catalonia Taxistas,jaumenaveira,50,13,205.6,16-17
2,Jaén Olivas,19peter90,49,14,206.6,16-17
3,808s And Fastbreaks,IArchondo,40,23,204.1,16-17
4,Cerramientos José Fernando,calotejon,40,23,187.9,16-17
5,Sillazo Krstiés,danidelacuesta,39,24,197.0,16-17
6,Declan Cavaliers,Aldrin,39,24,191.1,16-17
7,Oklahoma City Tinder,luckysori,39,24,190.9,16-17
8,Minnesota Timberjews,A_andres,38,25,197.9,16-17
9,Indiana Clinicas Rincén,pablofg_,38,25,194.3,16-17
10,Ultramarinos Lolita,Sovozca,37,26,184.3,16-17
11,MiRondo Randoms,theRosende,35,28,183.1,16-17
12,Barriada Mavericks,MigQuintana,28,35,173.0,16-17
13,Torremolinos 73s,Abel Fuego,26,37,171.7,16-17
14,Torrecilla Mega Rayquazas,javimgol,25,38,162.8,16-17
15,Ljubljana Isotopos,willye,24,39,172.6,16-17
16,Gamonal Kardashians,caprichitos,23,40,166.7,16-17
17,MarcusRayados Persecutors,Antonio_grito,23,40,163.3,16-17
18,New York Kinkis,villuqo,17,46,158.4,16-17
19,Atlético North Carolina,Paumarting,12,51,158.1,16-17
20,Polski Powazny,jbena14,8,55,126.5,16-17
1,Philadelphia SeventyCIRCO.,IArchondo,48,15,198.1,17-18
2,Fantantonio Bonapartes,mariscalpaquillo,41,22,3.0,17-18
3,Ultramarinos JoséPstrana,Sovozca,40,23,204.8,17-18
4,Moralzarzal Tupés,MigQuintana,39,24,196.0,17-18
5,De Mon Ramones,calotejon,39,24,190.8,17-18
6,Jaen Olivas,19peter90,38,25,183.9,17-18
7,Ljubljana Dragons,willye,36,27,190.8,17-18
8,Indiana Clinicas FG,pablofg_,35,28,182.5,17-18
9,Madrizeta Rentals,A_andres,34,29,192.9,17-18
10,Sillazo Krstiés,danidelacuesta,34,29,183.8,17-18
11,Sydney Sensimonguers,luckysori,33,30,184.6,17-18
12,MiRondo Randoms,theRosende,33,30,177.0,17-18
13,Catalonia Sovereigns,jaumenaveira,32,31,187.1,17-18
14,Torrecilla PrimalGroudon,javimgol,31,32,182.3,17-18
15,Segovia Pigs,Abel Fuego,30,33,174.7,17-18
16,Gamonal Tigeres,caprichitos,29,34,182.9,17-18
17,Losantos Lakers,Antonio_grito,28,35,184.1,17-18
18,Declan Cavaliers,Aldrin,17,46,158.9,17-18
19,Galiza Palomontes,jbena14,8,55,126.4,17-18
20,New York Kinkis,villuqo,5,58,113.1,17-18
1,Madrizeta Rentals,A_andres,45,15,209.9,18-19
2,Vallecas Engineers,IArchondo,42,18,211.0,18-19
3,Declan Cavaliers,Aldrin,40,20,214.6,18-19
4,Ultramarinos Ces Simbo!,Sovozca,39,21,215.5,18-19
5,Sprin Escudo,PerezIII,37,23,197.8,18-19
6,Losantos Lakers,Antonio_grito,35,25,218.0,18-19
7,Indiana Clinicas,pablofg_,34,26,211.3,18-19
8,Segovia Pigs,Abel Fuego,34,26,209.2,18-19
9,Vaticano Llaveros &,mariscalpaquillo,34,26,192.2,18-19
10,De Mon Ramones,calotejon,33,27,201.0,18-19
11,Villalba Youtubers,MigQuintana,29,31,198.0,18-19
12,Valdeacederas Fagotas,caprichitos,29,31,193.4,18-19
13,Jaén Olivas,19peter90,29,31,191.7,18-19
14,Sillazo Krsti¢és,danidelacuesta,28,32,191.3,18-19
15,BATE Tamiroff,luckysori,27,33,194.6,18-19
16,Roma Valverdes,jaumenaveira,26,34,190.0,18-19
17,Gomez Antén,jbena14,20,40,168.9,18-19
18,MiRondo Randoms,theRosende,14,46,172.1,18-19
19,Barcelona Lazis,foleyforo,13,47,167.9,18-19
20,New York Kinkis,villuqo,12,48,3.0,18-19
1,Arganzuela Privilegiados,IArchondo,40,10,229.3,20-21
2,Withington Aparachiquis,A_andres,38,12,220.6,20-21
3,MiRondo Randoms,theRosende,36,14,209.1,20-21
4,Sillazo Krsti¢s Y,danidelacuesta,33,17,217.9,20-21
5,Valdebernardo Caprichitos,caprichitos,32,18,201.2,20-21
6,Bam FC,luckysori,31,19,215.2,20-21
7,Redjor Chili Peppers,calotejon,31,19,214.1,20-21
8,TONY MAURICIO,AndiOnrubia,31,19,191.6,20-21
9,Contragafe Detected,mariscalpaquillo,29,21,209.5,20-21
10,Sierra Magina PERs,Pegalajar,27,23,206.4,20-21
11,Dosis de Lel,Sovozca,27,23,204.3,20-21
12,Losantos Lakers,Antonio_grito,27,23,194.6,20-21
13,Indiana Clinicas,pablofg_,23,27,179.3,20-21
14,Eevee Maricén,foleyforo,19,31,179.0,20-21
15,Spring Escudo,PerezIII,18,32,189.1,20-21
16,Jaén Olivas,19peter90,16,34,158.8,20-21
17,Catalonia Processistes,jaumenaveira,15,35,169.0,20-21
18,Suputa madre Javwrie marco,jbena14,10,40,160.2,20-21
19,New York Kinkis,villuqo,10,40,157.3,20-21
20,Biwenger NBA,Aldrin,7,43,151.0,20-21
1,Sillazo Krstiés,danidelacuesta,42,18,198.5,21-22
2,Francia Franceses,calotejon,39,21,206.2,21-22
3,Exiled Brownies,IArchondo,38,22,202.3,21-22
4,Sierra Magina PERs,Pegalajar,37,23,201.3,21-22
5,New Jersey Kinkis,villuqo,35,25,192.5,21-22
6,Gamonal Sinoneveros,Tinik,34,26,181.7,21-22
7,Catalonia Midecraneos,jaumenaveira,33,27,193.0,21-22
8,Narraweena Whippets,luckysori,33,27,191.4,21-22
9,Chocolate Milk,Sovozca,32,28,197.7,21-22
10,Losantos Lakers,Antonio_grito,32,28,194.9,21-22
11,Indiana Clinicas,pablofg_,29,31,185.3,21-22
12,Withington Aparachiquis,A_andres,29,31,184.6,21-22
13,Blazers Argento,Aldrin,28,32,171.5,21-22
14,MiRondo Randoms,theRosende,26,34,180.2,21-22
15,Don José Luis 4 ermitas,jbena14,23,37,174.3,21-22
16,Valdebernardo Caprichitos,caprichitos,23,37,171.7,21-22
17,Historiador C.Sirera,foleyforo,21,39,169.2,21-22
18,EL TRUUA BATTLELISTA,AndiOnrubia,6,54,145.1,21-22
1,Lucas Navarretes,IArchondo,43,17,208.3,22-23_mal
2,Hnos. Lumiere,calotejon,36,24,208.1,22-23_mal
3,Expulsado Hamari Traoré,jbena14,36,24,199.3,22-23_mal
4,Basque Mamba,Sovozca,36,24,197.0,22-23_mal
5,Moscard6 Caprichitos,caprichitos,36,24,196.3,22-23_mal
6,Libertad De Expresién,foleyforo,36,24,190.3,22-23_mal
7,MiRondo Randoms,theRosende,34,26,195.9,22-23_mal
8,Sillazo Krsti¢és,danidelacuesta,33,27,195.7,22-23_mal
9,Underdog NBA,AndiOnrubia,32,28,194.9,22-23_mal
10,Losantos Lakers,Antonio_grito,31,29,191.5,22-23_mal
11,Indiana Clinicas,pablofg_,30,30,187.1,22-23_mal
12,Jaén Olivas,19peter90,28,32,191.6,22-23_mal
13,Benjamin David Simmons,A_andres,28,32,188.9,22-23_mal
14,Gamonal Rellenaminuto,Tinik,26,34,3.0,22-23_mal
15,Gordofobia Noes,luckysori,25,35,192.3,22-23_mal
16,Sierra Magina PERs =,Pegalajar,25,35,186.4,22-23_mal
17,Ufia Sucia,Aldrin,25,35,181.9,22-23_mal
18,STAFF SR4,FranMoro,24,36,186.8,22-23_mal
19,Gran Via Funcionarios,jaumenaveira,18,42,178.8,22-23_mal
20,Quomo Cuestas y Dro,villuqo,18,42,174.6,22-23_mal
1,Montjuic Joaos,jaumenaveira,39,21,208.4,23-24
2,Islington Arroyers,IArchondo,38,22,222.3,23-24
3,Polseres Vermelles,A_andres,38,22,216.2,23-24
4,Gamonal Valderramas,Tinik,37,23,221.6,23-24
5,Sillazo Krstiés,danidelacuesta,35,25,212.6,23-24
6,Indiana Clinicas,pablofg_,35,25,211.3,23-24
7,A Gandara Funcis,foleyforo,35,25,205.6,23-24
8,Losantos Lakers,Antonio_grito,35,25,204.5,23-24
9,Karusitos Colmenarejos,Sovozca,35,25,204.5,23-24
10,Luis Roldan Turk’s Head,calotejon,34,26,196.4,23-24
11,Curl Curl Cricketeers,luckysori,30,30,195.9,23-24
12,CRISTIANO FELICIO,FranMoro,30,30,193.5,23-24
13,Human Conditions,villuqo,28,32,198.3,23-24
14,UD Almeria,Aldrin,26,34,202.0,23-24
15,MiRondo Randoms,theRosende,26,34,199.0,23-24
16,Tetuan Caprichitos,caprichitos,26,34,186.8,23-24
17,Sierra Magina,Pegalajar,24,36,195.4,23-24
18,Verdunch Fifes,AndiOnrubia,21,39,189.7,23-24
19,Jaén Olivas,19peter90,19,41,180.4,23-24
20,Condenado Ferland Mendy,jbena14,9,51,162.2,23-24
1,Golde Endricki,luckysori,47,13,224.0,24-25
2,Opus Magnum,Sovozca,42,18,204.1,24-25
3,MiRondo Randoms,theRosende,37,23,206.7,24-25
4,Indiana Clinicas,pablofg_,37,23,204.7,24-25
5,Gamonal Tenorios,Tinik,37,23,203.9,24-25
6,Jaén Olivas,19peter90,35,25,206.1,24-25
7,Elegancia Borbones,AndiOnrubia,35,25,200.7,24-25
8,Alejandro Arroyo,IArchondo,30,30,206.1,24-25
9,NO NO,jbena14,30,30,199.5,24-25
10,Sierra Magina Pegalajar,Pegalajar,28,32,198.2,24-25
11,,Aldrin,27,33,192.0,24-25
12,Tetuan Caprichitos,caprichitos,27,33,186.6,24-25
13,Manolo,calotejon,26,34,194.6,24-25
14,Swedberg Autistas,villuqo,26,34,191.5,24-25
15,Marseille Branddos,jaumenaveira,25,35,185.3,24-25
16,Pucela Quillitos,foleyforo,24,36,178.4,24-25
17,Old Trafford Spunkbubbles,A_andres,23,37,184.9,24-25
18,Shyamalan Twists,antonioarenas,22,38,176.2,24-25
19,Losantos Lakers,Antonio_grito,21,39,181.5,24-25
20,Sillazo Krsti¢és,danidelacuesta,21,39,177.2,24-25
